"cd102","103rd Congressional District","county","cntyname","fplace80","plac80nm","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","1990 POP","cd103 to county allocation factor","county to cd103 allocation factor"
"03","03","01113","Russell AL"," "," ",85.068866,32.423434,46860,0.003308,1 
"04","03","01115","St. Clair AL"," "," ",86.326651,33.782792,20398,0.009893,0.407887 
"07","03","01115","St. Clair AL"," "," ",86.366901,33.582772,29611,0.316232,0.592113 
"07","06","01117","Shelby AL"," "," ",86.732263,33.282544,99358,0.124827,1 
"07","07","01119","Sumter AL"," "," ",88.232285,32.571088,16174,0.002014,1 
"03","03","01121","Talladega AL"," "," ",86.174967,33.357662,74107,0.005232,1 
"03","03","01123","Tallapoosa AL"," "," ",85.864446,32.859936,38826,0.002741,1 
"07","06","01125","Tuscaloosa AL"," "," ",87.555804,33.242825,81339,0.102189,0.540379 
"07","07","01125","Tuscaloosa AL"," "," ",87.4979,33.176673,69183,0.008613,0.45962 
"04","04","01127","Walker AL"," "," ",87.253844,33.827675,67670,0.005248,1 
"01","01","01129","Washington AL"," "," ",88.186249,31.419236,16694,0.000835,1 
"01","07","01131","Wilcox AL"," "," ",87.361003,32.000421,13568,0.073615,1 
"04","04","01133","Winston AL"," "," ",87.431938,34.17066,22053,0.00171,1 
"00","00","02013","Aleutians East Borough AK"," "," ",162.45006,55.034179,2464,0.000691,1 
"00","00","02016","Aleutians West Census Area AK"," "," ",172.478653,53.071425,9478,0.002657,1 
"00","00","02020","Anchorage Borough AK"," "," ",149.792418,61.196622,226338,0.063447,1 
"00","00","02050","Bethel Census Area AK"," "," ",162.000833,60.688091,13656,0.003828,1 
"00","00","02060","Bristol Bay Borough AK"," "," ",156.779353,58.732257,1410,0.000395,1 
"00","00","02070","Dillingham Census Area AK"," "," ",158.676378,59.144509,4012,0.001125,1 
"00","00","02090","Fairbanks North Star Borough AK"," "," ",147.609756,64.824244,77720,0.021786,1 
"00","00","02100","Haines Borough AK"," "," ",135.520465,59.242513,2117,0.000593,1 
"00","00","02110","Juneau Borough AK"," "," ",134.520397,58.356896,26751,0.007499,1 
"00","00","02122","Kenai Peninsula Borough AK"," "," ",151.053265,60.284856,40802,0.011438,1 
"00","00","02130","Ketchikan Gateway Borough AK"," "," ",131.681791,55.372594,13828,0.003876,1 
"00","00","02150","Kodiak Island Borough AK"," "," ",152.500169,57.781967,13309,0.003731,1 
"00","00","02164","Lake and Peninsula Borough AK"," "," ",156.712017,58.209748,1668,0.000468,1 
"00","00","02170","Matanuska-Susitna Borough AK"," "," ",149.391478,61.625106,39683,0.011124,1 
"00","00","02180","Nome Census Area AK"," "," ",165.275628,64.471591,8288,0.002323,1 
"00","00","02185","North Slope Borough AK"," "," ",156.962843,70.559864,5979,0.001676,1 
"00","00","02188","Northwest Arctic Borough AK"," "," ",161.585249,66.902995,6113,0.001714,1 
"00","00","02201","Prince of Wales-Outer Ketchikan Census AK"," "," ",132.56808,55.454885,6278,0.00176,1 
"00","00","02220","Sitka Borough AK"," "," ",135.324859,57.067274,8588,0.002407,1 
"00","00","02231","Skagway-Yakutat-Angoon Census Area AK (D)"," "," ",135.953281,58.47836,4385,0.001229,1 
"00","00","02240","Southeast Fairbanks Census Area AK"," "," ",144.669393,63.831616,5913,0.001658,1 
"00","00","02261","Valdez-Cordova Census Area AK"," "," ",145.887835,61.219256,9952,0.00279,1 
"00","00","02270","Wade Hampton Census Area AK (D)"," "," ",164.260968,62.11839,5791,0.001623,1 
"00","00","02280","Wrangell-Petersburg Census Area AK"," "," ",132.887499,56.668863,7042,0.001974,1 
"00","00","02290","Yukon-Koyukuk Census Area AK"," "," ",152.148632,64.673763,8478,0.002377,1 
"04","06","04001","Apache AZ"," "," ",109.410876,35.809965,56092,0.049868,0.910717 
"05","06","04001","Apache AZ"," "," ",109.275426,34.085069,5499,0.009233,0.089283 
"05","05","04003","Cochise AZ"," "," ",110.032716,31.600416,97624,0.008743,1 
"03","03","04005","Coconino AZ"," "," ",111.74094,35.801914,28933,0.002043,0.299541 
"03","06","04005","Coconino AZ"," "," ",111.498474,35.48872,67658,0.100637,0.700459 
"04","06","04007","Gila AZ"," "," ",110.948485,33.718241,40216,0.035754,1 
